# == pyFAI calibration ==
# Distance Sample to Detector: 0.16467985556231649 m
# PONI: 9.242e-02, 8.817e-02 m
# Rotations: 0.000148 0.000104 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 164.680 mm
# Center: x=1175.307, y=1232.557 pix
# Tilt: 0.010 deg  TiltPlanRot: 144.812 deg
# 
# Detector Eiger 4M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.537246033323096e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/easy/data/visitor/ihsc1713/id13/XXPROCESS/Cfluct_sp_avg.dat
#       q_nm^-1             I 
  1.318167e+01    2.214606e+01
  1.322412e+01    2.232025e+01
  1.326657e+01    2.247349e+01
  1.330902e+01    2.263043e+01
  1.335148e+01    2.277888e+01
  1.339393e+01    2.292777e+01
  1.343638e+01    2.305956e+01
  1.347883e+01    2.320331e+01
  1.352129e+01    2.332054e+01
  1.356374e+01    2.345101e+01
  1.360619e+01    2.356300e+01
  1.364864e+01    2.367147e+01
  1.369110e+01    2.377133e+01
  1.373355e+01    2.385914e+01
  1.377600e+01    2.394700e+01
  1.381845e+01    2.401802e+01
  1.386091e+01    2.408759e+01
  1.390336e+01    2.415404e+01
  1.394581e+01    2.422500e+01
  1.398827e+01    2.428041e+01
  1.403072e+01    2.427399e+01
  1.407317e+01    2.428764e+01
  1.411562e+01    2.429766e+01
  1.415808e+01    2.430499e+01
  1.420053e+01    2.429641e+01
  1.424298e+01    2.428656e+01
  1.428543e+01    2.426237e+01
  1.432789e+01    2.423011e+01
  1.437034e+01    2.420009e+01
  1.441279e+01    2.414940e+01
  1.445524e+01    2.409088e+01
  1.449770e+01    2.401769e+01
  1.454015e+01    2.397715e+01
  1.458260e+01    2.389294e+01
  1.462505e+01    2.381493e+01
  1.466751e+01    2.371316e+01
  1.470996e+01    2.362306e+01
  1.475241e+01    2.351410e+01
  1.479487e+01    2.340596e+01
  1.483732e+01    2.330344e+01
