# == pyFAI calibration ==
# Distance Sample to Detector: 0.12919864315695237 m
# PONI: 9.601e-02, 9.529e-02 m
# Rotations: 0.006465 0.000205 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.201 mm
# Center: x=1259.455, y=1280.428 pix
# Tilt: 0.371 deg  TiltPlanRot: 178.181 deg
# 
# Detector Eiger 4M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.537246033323096e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /mnt/multipath-shares/tmp_14_days/es1097_ux/zp1_yp0_3073.dat
#        q_A^-1             I 
  1.255097e+00    5.737930e+01
  1.260136e+00    5.794261e+01
  1.265175e+00    5.753938e+01
  1.270214e+00    5.773507e+01
  1.275253e+00    5.750924e+01
  1.280292e+00    5.737401e+01
  1.285331e+00    5.735565e+01
  1.290369e+00    5.701042e+01
  1.295408e+00    5.708675e+01
  1.300447e+00    5.702169e+01
  1.305486e+00    5.685621e+01
  1.310525e+00    5.699749e+01
  1.315564e+00    5.673204e+01
  1.320602e+00    5.671015e+01
  1.325641e+00    5.673037e+01
  1.330680e+00    5.679819e+01
  1.335719e+00    5.689432e+01
  1.340758e+00    5.653854e+01
  1.345797e+00    5.655656e+01
  1.350836e+00    5.674699e+01
  1.355874e+00    5.637352e+01
  1.360913e+00    5.934797e+01
  1.365952e+00    5.643476e+01
  1.370991e+00    5.631917e+01
  1.376030e+00    5.638676e+01
  1.381069e+00    5.609863e+01
  1.386107e+00    5.639357e+01
  1.391146e+00    5.613385e+01
  1.396185e+00    5.608252e+01
  1.401224e+00    5.649587e+01
  1.406263e+00    5.637199e+01
  1.411302e+00    5.635201e+01
  1.416341e+00    5.631154e+01
  1.421379e+00    5.652092e+01
  1.426418e+00    5.667084e+01
  1.431457e+00    5.699441e+01
  1.436496e+00    5.707962e+01
  1.441535e+00    5.727981e+01
  1.446574e+00    5.790171e+01
  1.451612e+00    5.877524e+01
  1.456651e+00    6.021340e+01
  1.461690e+00    6.208796e+01
  1.466729e+00    6.546490e+01
  1.471768e+00    6.992151e+01
  1.476807e+00    6.476742e+01
  1.481845e+00    6.969018e+01
  1.486884e+00    7.204793e+01
  1.491923e+00    6.503243e+01
  1.496962e+00    6.182912e+01
  1.502001e+00    5.918657e+01
  1.507040e+00    5.814975e+01
  1.512079e+00    5.733779e+01
  1.517117e+00    5.674405e+01
  1.522156e+00    5.605752e+01
  1.527195e+00    5.588345e+01
  1.532234e+00    5.561293e+01
  1.537273e+00    5.505867e+01
  1.542312e+00    5.508669e+01
  1.547350e+00    5.504236e+01
  1.552389e+00    5.475851e+01
  1.557428e+00    5.496792e+01
  1.562467e+00    5.482821e+01
  1.567506e+00    5.459144e+01
  1.572545e+00    5.445538e+01
  1.577584e+00    5.450901e+01
  1.582622e+00    5.457819e+01
  1.587661e+00    5.437427e+01
  1.592700e+00    5.457061e+01
  1.597739e+00    5.446370e+01
  1.602778e+00    5.457127e+01
  1.607817e+00    5.449059e+01
  1.612855e+00    5.458827e+01
  1.617894e+00    5.475211e+01
  1.622933e+00    5.488230e+01
  1.627972e+00    5.454506e+01
  1.633011e+00    5.467875e+01
  1.638050e+00    5.488310e+01
  1.643089e+00    5.522651e+01
  1.648127e+00    5.519989e+01
  1.653166e+00    5.549065e+01
  1.658205e+00    5.537234e+01
  1.663244e+00    5.548529e+01
  1.668283e+00    5.562625e+01
  1.673322e+00    5.581869e+01
  1.678360e+00    5.599520e+01
  1.683399e+00    5.623148e+01
  1.688438e+00    5.633620e+01
  1.693477e+00    5.657062e+01
  1.698516e+00    5.666172e+01
  1.703555e+00    5.666574e+01
  1.708594e+00    5.704355e+01
  1.713632e+00    5.742492e+01
  1.718671e+00    5.747726e+01
  1.723710e+00    5.755447e+01
  1.728749e+00    5.773108e+01
  1.733788e+00    5.810936e+01
  1.738827e+00    5.816748e+01
  1.743865e+00    5.833031e+01
  1.748904e+00    5.866213e+01
  1.753943e+00    5.925253e+01
  1.758982e+00    5.903869e+01
  1.764021e+00    5.938221e+01
  1.769060e+00    5.937432e+01
  1.774099e+00    5.983417e+01
  1.779137e+00    6.017745e+01
  1.784176e+00    6.015668e+01
  1.789215e+00    6.034692e+01
  1.794254e+00    6.084744e+01
  1.799293e+00    6.091607e+01
  1.804332e+00    6.120541e+01
  1.809370e+00    6.161963e+01
  1.814409e+00    6.148337e+01
  1.819448e+00    6.174281e+01
  1.824487e+00    6.183327e+01
  1.829526e+00    6.209809e+01
  1.834565e+00    6.207484e+01
  1.839603e+00    6.207399e+01
  1.844642e+00    6.218340e+01
  1.849681e+00    6.247721e+01
  1.854720e+00    6.227720e+01
  1.859759e+00    6.253024e+01
  1.864798e+00    6.293719e+01
  1.869837e+00    6.279592e+01
  1.874875e+00    6.268379e+01
  1.879914e+00    6.264083e+01
  1.884953e+00    6.240226e+01
  1.889992e+00    6.266348e+01
  1.895031e+00    6.260133e+01
  1.900070e+00    6.285545e+01
  1.905108e+00    6.254205e+01
  1.910147e+00    6.294738e+01
  1.915186e+00    6.263768e+01
  1.920225e+00    6.282561e+01
  1.925264e+00    6.283426e+01
  1.930303e+00    6.259163e+01
  1.935342e+00    6.289410e+01
  1.940380e+00    6.255732e+01
  1.945419e+00    6.255353e+01
  1.950458e+00    6.247806e+01
  1.955497e+00    6.248213e+01
  1.960536e+00    6.204765e+01
  1.965575e+00    6.196803e+01
  1.970613e+00    6.237956e+01
  1.975652e+00    6.208671e+01
  1.980691e+00    6.161240e+01
  1.985730e+00    6.197650e+01
  1.990769e+00    6.165399e+01
  1.995808e+00    6.146074e+01
  2.000847e+00    6.131726e+01
  2.005885e+00    6.129678e+01
  2.010924e+00    6.124484e+01
  2.015963e+00    6.097192e+01
  2.021002e+00    6.090262e+01
  2.026041e+00    6.065669e+01
  2.031080e+00    6.052786e+01
  2.036118e+00    6.014843e+01
  2.041157e+00    6.029551e+01
  2.046196e+00    6.026069e+01
  2.051235e+00    5.998471e+01
  2.056274e+00    5.985567e+01
  2.061313e+00    5.991609e+01
  2.066352e+00    5.961304e+01
  2.071390e+00    5.933276e+01
  2.076429e+00    5.938145e+01
  2.081468e+00    5.931816e+01
  2.086507e+00    5.901938e+01
  2.091546e+00    5.906359e+01
  2.096585e+00    5.888020e+01
  2.101623e+00    5.858806e+01
  2.106662e+00    5.872118e+01
  2.111701e+00    5.847554e+01
  2.116740e+00    5.827160e+01
  2.121779e+00    5.817217e+01
  2.126818e+00    5.818906e+01
  2.131857e+00    5.810357e+01
  2.136895e+00    5.828053e+01
  2.141934e+00    5.783921e+01
  2.146973e+00    5.787149e+01
  2.152012e+00    5.792733e+01
  2.157051e+00    5.780080e+01
  2.162090e+00    5.765992e+01
  2.167128e+00    5.748724e+01
  2.172167e+00    5.731677e+01
  2.177206e+00    5.745110e+01
  2.182245e+00    5.727507e+01
  2.187284e+00    5.724430e+01
  2.192323e+00    5.717439e+01
  2.197361e+00    5.725001e+01
  2.202400e+00    5.692184e+01
  2.207439e+00    5.696766e+01
  2.212478e+00    5.682375e+01
  2.217517e+00    5.689301e+01
  2.222556e+00    5.686356e+01
  2.227595e+00    5.697455e+01
  2.232633e+00    5.653641e+01
  2.237672e+00    5.672717e+01
  2.242711e+00    5.666167e+01
  2.247750e+00    5.650191e+01
  2.252789e+00    5.671434e+01
  2.257828e+00    5.632033e+01
  2.262866e+00    5.657661e+01
  2.267905e+00    5.637962e+01
  2.272944e+00    5.620675e+01
  2.277983e+00    5.624732e+01
  2.283022e+00    5.615764e+01
  2.288061e+00    5.611245e+01
  2.293100e+00    5.616116e+01
  2.298138e+00    5.612457e+01
  2.303177e+00    5.626653e+01
  2.308216e+00    5.577309e+01
  2.313255e+00    5.599512e+01
  2.318294e+00    5.586107e+01
  2.323333e+00    5.581495e+01
  2.328371e+00    5.554485e+01
  2.333410e+00    5.583079e+01
  2.338449e+00    5.570336e+01
  2.343488e+00    5.545533e+01
  2.348527e+00    5.553373e+01
  2.353566e+00    5.553146e+01
  2.358605e+00    5.573687e+01
  2.363643e+00    5.514284e+01
  2.368682e+00    5.541722e+01
  2.373721e+00    5.533984e+01
  2.378760e+00    5.514062e+01
  2.383799e+00    5.552718e+01
  2.388838e+00    5.540242e+01
  2.393876e+00    5.540039e+01
  2.398915e+00    5.516242e+01
  2.403954e+00    5.523901e+01
  2.408993e+00    5.515916e+01
  2.414032e+00    5.522832e+01
  2.419071e+00    5.500319e+01
  2.424110e+00    5.504552e+01
  2.429148e+00    5.497800e+01
  2.434187e+00    5.496311e+01
  2.439226e+00    5.501711e+01
  2.444265e+00    5.475320e+01
  2.449304e+00    5.494950e+01
  2.454343e+00    5.500451e+01
  2.459381e+00    5.492092e+01
  2.464420e+00    5.508888e+01
