# == pyFAI calibration ==
# Distance Sample to Detector: 0.16467985556231649 m
# PONI: 9.242e-02, 8.817e-02 m
# Rotations: 0.000148 0.000104 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 164.680 mm
# Center: x=1175.307, y=1232.557 pix
# Tilt: 0.010 deg  TiltPlanRot: 144.812 deg
# 
# Detector Eiger 4M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.537246033323096e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/easy/data/visitor/ihsc1713/id13/XXPROCESS/Cfluct_empty_avg.dat
#       q_nm^-1             I 
  9.743003e+00    6.221133e+00
  9.785455e+00    6.262604e+00
  9.827908e+00    6.303699e+00
  9.870361e+00    6.339839e+00
  9.912813e+00    6.369527e+00
  9.955266e+00    6.409593e+00
  9.997719e+00    6.436819e+00
  1.004017e+01    6.468134e+00
  1.008262e+01    6.493592e+00
  1.012508e+01    6.520268e+00
  1.016753e+01    6.550156e+00
  1.020998e+01    6.579133e+00
  1.025243e+01    6.604239e+00
  1.029489e+01    6.633365e+00
  1.033734e+01    6.661137e+00
  1.037979e+01    6.685186e+00
  1.042224e+01    6.706815e+00
  1.046470e+01    6.718169e+00
  1.050715e+01    6.728853e+00
  1.054960e+01    6.724578e+00
  1.059206e+01    6.717661e+00
  1.063451e+01    6.698370e+00
  1.067696e+01    6.676840e+00
  1.071941e+01    6.648031e+00
  1.076187e+01    6.616405e+00
  1.080432e+01    6.583927e+00
  1.084677e+01    6.557145e+00
  1.088922e+01    6.533428e+00
  1.093168e+01    6.512520e+00
  1.097413e+01    6.497747e+00
  1.101658e+01    6.492547e+00
  1.105903e+01    6.507966e+00
  1.110149e+01    6.511584e+00
  1.114394e+01    6.511576e+00
  1.118639e+01    6.522954e+00
  1.122884e+01    6.552629e+00
  1.127130e+01    6.577992e+00
  1.131375e+01    6.602632e+00
  1.135620e+01    6.623386e+00
  1.139866e+01    6.641667e+00
  1.144111e+01    6.661503e+00
  1.148356e+01    6.675114e+00
  1.152601e+01    6.691834e+00
  1.156847e+01    6.700782e+00
  1.161092e+01    6.707369e+00
  1.165337e+01    6.704743e+00
  1.169582e+01    6.695126e+00
  1.173828e+01    6.682680e+00
  1.178073e+01    6.669789e+00
  1.182318e+01    6.647638e+00
  1.186563e+01    6.627880e+00
  1.190809e+01    6.606924e+00
  1.195054e+01    6.585779e+00
  1.199299e+01    6.563390e+00
  1.203544e+01    6.543352e+00
  1.207790e+01    6.530453e+00
  1.212035e+01    6.514801e+00
  1.216280e+01    6.508552e+00
  1.220526e+01    6.499608e+00
  1.224771e+01    6.488362e+00
  1.229016e+01    6.476985e+00
  1.233261e+01    6.469073e+00
  1.237507e+01    6.460406e+00
  1.241752e+01    6.448012e+00
  1.245997e+01    6.452711e+00
  1.250242e+01    6.444902e+00
  1.254488e+01    6.439359e+00
  1.258733e+01    6.437785e+00
  1.262978e+01    6.440195e+00
  1.267223e+01    6.418460e+00
  1.271469e+01    6.411156e+00
  1.275714e+01    6.398954e+00
  1.279959e+01    6.392124e+00
  1.284204e+01    6.383193e+00
  1.288450e+01    6.372932e+00
  1.292695e+01    6.363772e+00
  1.296940e+01    6.357737e+00
  1.301185e+01    6.344312e+00
  1.305431e+01    6.339886e+00
  1.309676e+01    6.327820e+00
  1.313921e+01    6.321447e+00
  1.318167e+01    6.306978e+00
  1.322412e+01    6.301087e+00
  1.326657e+01    6.288755e+00
  1.330902e+01    6.280851e+00
  1.335148e+01    6.267264e+00
  1.339393e+01    6.260880e+00
  1.343638e+01    6.244133e+00
  1.347883e+01    6.235848e+00
  1.352129e+01    6.219810e+00
  1.356374e+01    6.206790e+00
  1.360619e+01    6.191333e+00
  1.364864e+01    6.174744e+00
  1.369110e+01    6.160792e+00
  1.373355e+01    6.143844e+00
  1.377600e+01    6.127372e+00
  1.381845e+01    6.110399e+00
  1.386091e+01    6.096026e+00
  1.390336e+01    6.086188e+00
  1.394581e+01    6.109507e+00
  1.398827e+01    6.103916e+00
  1.403072e+01    6.041830e+00
  1.407317e+01    6.014400e+00
  1.411562e+01    6.000727e+00
  1.415808e+01    5.983415e+00
  1.420053e+01    5.970105e+00
  1.424298e+01    5.952962e+00
  1.428543e+01    5.940496e+00
  1.432789e+01    5.929525e+00
  1.437034e+01    5.919545e+00
  1.441279e+01    5.908257e+00
  1.445524e+01    5.894720e+00
  1.449770e+01    5.881975e+00
  1.454015e+01    5.884682e+00
  1.458260e+01    5.875189e+00
  1.462505e+01    5.864695e+00
  1.466751e+01    5.843246e+00
  1.470996e+01    5.833859e+00
  1.475241e+01    5.821680e+00
  1.479487e+01    5.811173e+00
  1.483732e+01    5.802115e+00
  1.487977e+01    5.794226e+00
  1.492222e+01    5.781301e+00
  1.496468e+01    5.768943e+00
  1.500713e+01    5.762268e+00
  1.504958e+01    5.753089e+00
  1.509203e+01    5.742625e+00
  1.513449e+01    5.735230e+00
  1.517694e+01    5.727116e+00
  1.521939e+01    5.719735e+00
  1.526184e+01    5.713366e+00
  1.530430e+01    5.704439e+00
  1.534675e+01    5.695383e+00
  1.538920e+01    5.686410e+00
  1.543165e+01    5.677918e+00
  1.547411e+01    5.661655e+00
  1.551656e+01    5.643411e+00
  1.555901e+01    5.626215e+00
  1.560147e+01    5.598494e+00
  1.564392e+01    5.569829e+00
  1.568637e+01    5.535240e+00
  1.572882e+01    5.499945e+00
  1.577128e+01    5.462610e+00
  1.581373e+01    5.426076e+00
  1.585618e+01    5.384016e+00
  1.589863e+01    5.347973e+00
  1.594109e+01    5.309645e+00
  1.598354e+01    5.276080e+00
  1.602599e+01    5.249046e+00
  1.606844e+01    5.209386e+00
  1.611090e+01    5.173642e+00
  1.615335e+01    5.143286e+00
  1.619580e+01    5.118961e+00
  1.623825e+01    5.108851e+00
  1.628071e+01    5.105641e+00
  1.632316e+01    5.053781e+00
  1.636561e+01    5.010367e+00
  1.640806e+01    4.987456e+00
