# == pyFAI calibration ==
# Distance Sample to Detector: 0.12919864315695237 m
# PONI: 9.601e-02, 9.529e-02 m
# Rotations: 0.006465 0.000205 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.201 mm
# Center: x=1259.455, y=1280.428 pix
# Tilt: 0.371 deg  TiltPlanRot: 178.181 deg
# 
# Detector Eiger 4M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.537246033323096e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /mnt/multipath-shares/tmp_14_days/es1097_ux/zp1_yp0_1609.dat
#        q_A^-1             I 
  1.592700e+00    5.519196e+01
  1.597739e+00    5.498101e+01
  1.602778e+00    5.502567e+01
  1.607817e+00    5.527036e+01
  1.612855e+00    5.515375e+01
  1.617894e+00    5.511013e+01
  1.622933e+00    5.546633e+01
  1.627972e+00    5.543060e+01
  1.633011e+00    5.554135e+01
  1.638050e+00    5.551961e+01
  1.643089e+00    5.598004e+01
  1.648127e+00    5.610695e+01
  1.653166e+00    5.601790e+01
  1.658205e+00    5.615232e+01
  1.663244e+00    5.595012e+01
  1.668283e+00    5.634830e+01
  1.673322e+00    5.663525e+01
  1.678360e+00    5.623817e+01
  1.683399e+00    5.672570e+01
  1.688438e+00    5.686703e+01
  1.693477e+00    5.721592e+01
  1.698516e+00    5.730755e+01
  1.703555e+00    5.737851e+01
  1.708594e+00    5.760605e+01
  1.713632e+00    5.778528e+01
  1.718671e+00    5.784301e+01
  1.723710e+00    5.843621e+01
  1.728749e+00    5.861397e+01
  1.733788e+00    5.901331e+01
  1.738827e+00    5.894683e+01
  1.743865e+00    5.913758e+01
  1.748904e+00    5.922873e+01
  1.753943e+00    5.950302e+01
  1.758982e+00    5.974571e+01
  1.764021e+00    6.010129e+01
  1.769060e+00    6.036171e+01
  1.774099e+00    6.062953e+01
  1.779137e+00    6.072986e+01
  1.784176e+00    6.097079e+01
  1.789215e+00    6.122368e+01
  1.794254e+00    6.160126e+01
  1.799293e+00    6.156656e+01
  1.804332e+00    6.167569e+01
  1.809370e+00    6.198758e+01
  1.814409e+00    6.188017e+01
  1.819448e+00    6.256373e+01
  1.824487e+00    6.253009e+01
  1.829526e+00    6.282052e+01
  1.834565e+00    6.274739e+01
  1.839603e+00    6.295061e+01
  1.844642e+00    6.326522e+01
  1.849681e+00    6.293822e+01
  1.854720e+00    6.312403e+01
  1.859759e+00    6.311664e+01
  1.864798e+00    6.366274e+01
  1.869837e+00    6.348278e+01
  1.874875e+00    6.332431e+01
  1.879914e+00    6.353820e+01
  1.884953e+00    6.312509e+01
  1.889992e+00    6.398429e+01
  1.895031e+00    6.350482e+01
  1.900070e+00    6.337602e+01
  1.905108e+00    6.330378e+01
  1.910147e+00    6.372873e+01
  1.915186e+00    6.351945e+01
  1.920225e+00    6.357252e+01
  1.925264e+00    6.353191e+01
  1.930303e+00    6.338661e+01
  1.935342e+00    6.360167e+01
  1.940380e+00    6.305627e+01
  1.945419e+00    6.341547e+01
  1.950458e+00    6.338837e+01
  1.955497e+00    6.322628e+01
  1.960536e+00    6.320444e+01
  1.965575e+00    6.307540e+01
  1.970613e+00    6.309232e+01
  1.975652e+00    6.314953e+01
  1.980691e+00    6.277303e+01
  1.985730e+00    6.245274e+01
  1.990769e+00    6.245921e+01
  1.995808e+00    6.234451e+01
  2.000847e+00    6.216274e+01
