# == pyFAI calibration ==
# Distance Sample to Detector: 0.12919864315695237 m
# PONI: 9.601e-02, 9.529e-02 m
# Rotations: 0.006465 0.000205 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.201 mm
# Center: x=1259.455, y=1280.428 pix
# Tilt: 0.371 deg  TiltPlanRot: 178.181 deg
# 
# Detector Eiger 4M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.537246033323096e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /mnt/multipath-shares/tmp_14_days/es1097_ux/zp1_yp0_avg.dat
#        q_A^-1             I 
  1.491923e+00    5.425555e+01
  1.496962e+00    5.106570e+01
  1.502001e+00    4.872476e+01
  1.507040e+00    4.777290e+01
  1.512079e+00    4.702601e+01
  1.517117e+00    4.638739e+01
  1.522156e+00    4.600684e+01
  1.527195e+00    4.569778e+01
  1.532234e+00    4.547497e+01
  1.537273e+00    4.524852e+01
  1.542312e+00    4.513084e+01
  1.547350e+00    4.500702e+01
  1.552389e+00    4.490514e+01
  1.557428e+00    4.487701e+01
  1.562467e+00    4.479517e+01
  1.567506e+00    4.472115e+01
  1.572545e+00    4.468360e+01
  1.577584e+00    4.466543e+01
  1.582622e+00    4.467029e+01
  1.587661e+00    4.462926e+01
  1.592700e+00    4.466061e+01
  1.597739e+00    4.468361e+01
  1.602778e+00    4.468158e+01
  1.607817e+00    4.473743e+01
  1.612855e+00    4.475314e+01
  1.617894e+00    4.480127e+01
  1.622933e+00    4.483953e+01
  1.627972e+00    4.492393e+01
  1.633011e+00    4.500118e+01
  1.638050e+00    4.501963e+01
  1.643089e+00    4.516932e+01
  1.648127e+00    4.519670e+01
  1.653166e+00    4.528619e+01
  1.658205e+00    4.539332e+01
  1.663244e+00    4.543664e+01
  1.668283e+00    4.558196e+01
  1.673322e+00    4.571296e+01
  1.678360e+00    4.577329e+01
  1.683399e+00    4.597171e+01
